"Trait","Trait.short","N","Nz","Prev","MS.Mdl","VE_ID","CI_ID","MS.CI_ID","LogL_ID","Pv_ID","FDR_ID","SW_PV_ID","SW_FDR_ID","VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","MS.CI_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","FDR_COHOUSING.ID_DMP","SW_PV_COHOUSING.ID_DMP","SW_FDR_COHOUSING.ID_DMP","VE_famID","CI_famID","MS.CI_famID","LogL_famID","Pv_famID","FDR_famID","SW_PV_famID","SW_FDR_famID","VE_Residual","CI_Residual","MS.CI_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_Sex","SE_Sex","P.Chisq_Sex","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia","c__Bacteroidia",3571,1,99.99,"no.family.ID",0.203841063,NA,"0.05-0.36",-2825.578025,0.022768398,1,0.000953307392996109,0.222120622568093,0.040330499,NA,"0-0.09",-2823.928235,0.169596313,1,0.0498326848249027,1,1.9e-10,NA,NA,-2822.984981,1,1,0.36784046692607,1,0.755828437,NA,"0.59-0.92",-2822.984981,-0.002973522,0.000547631,5.64e-08,-0.006060649,0.017806137,0.733578996,-0.211418505,0.060650947,0.000490624,0.04826332,0.015799911,0.002253175
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Oxalobacter.s__Oxalobacter_formigenes","s__Oxalobacter_formigenes",3571,5241,36.14,"full.model",0.165813758,"0.04-0.29","0.04-0.29",-10123.8228,0.023862528,1,0.00394163424124514,0.851392996108949,0.103450903,"0.04-0.16","0.04-0.16",-10125.66064,0.003045064,0.47198492,0.000350194552529183,0.0526381322957198,0,"0-0.05","0-0.05",-10121.2705,0.999697884,1,1,1,0.730735339,"0.6-0.87","0.6-0.87",-10121.2705,0.029101375,0.004283434,1.09e-11,-0.411656111,0.135231505,0.002333897,1.749070461,0.468326304,0.00018792,-0.41277442,0.122054302,0.000719885
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae","f__Oxalobacteraceae",3571,5241,36.14,"no.family.ID",0.165603092,NA,"0.03-0.29",-10120.66355,0.023982557,1,0.00395719844357977,0.851392996108949,0.103638628,NA,"0.04-0.15",-10122.52109,0.002994242,0.470095994,0.000346303501945525,0.0526381322957198,7.79e-11,NA,NA,-10118.1156,1,1,0.384976653696498,1,0.73075828,NA,"0.61-0.87",-10118.1156,0.0290755,0.004279801,1.09e-11,-0.411346581,0.135105401,0.002329631,1.748814473,0.467912174,0.000185871,-0.412893356,0.121946525,0.000709566
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Oxalobacter","g__Oxalobacter",3571,5241,36.14,"no.family.ID",0.165603085,NA,"0.03-0.29",-10120.66355,0.023982561,1,0.00395719844357977,0.851392996108949,0.103638627,NA,"0.04-0.15",-10122.52109,0.002994242,0.470095994,0.000346303501945525,0.0526381322957198,7.77e-11,NA,NA,-10118.1156,1,1,0.384976653696498,1,0.730758287,NA,"0.61-0.87",-10118.1156,0.0290755,0.004279801,1.09e-11,-0.411346582,0.135105401,0.002329631,1.748814486,0.467912174,0.000185871,-0.41289335,0.121946525,0.000709567
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Flavonifractor","g__Flavonifractor",3571,5448,33.62,"full.model",0.173480095,"0.02-0.32","0.02-0.32",-9887.276225,0.024569301,1,0.00311673151750973,0.69727626459144,0.024820893,"0-0.09","0-0.09",-9885.003673,0.475621799,1,0.126322957198444,1,0.064957153,"0.01-0.12","0.01-0.12",-9887.739719,0.014460981,1,9.33852140077821e-05,0.0229727626459144,0.736741859,"0.6-0.87","0.6-0.87",-9884.74923,-0.013175237,0.003981873,0.000936954,-0.343508604,0.127102716,0.006879818,1.286589256,0.438120882,0.003318233,0.154092556,0.114189082,0.177192191
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Flavonifractor.s__Flavonifractor_plautii","s__Flavonifractor_plautii",3571,5448,33.62,"full.model",0.173503727,"0.02-0.32","0.02-0.32",-9892.26545,0.024581208,1,0.00311284046692607,0.69727626459144,0.024703029,"0-0.09","0-0.09",-9889.991016,0.47762495,1,0.127171206225681,1,0.065185225,"0.01-0.12","0.01-0.12",-9892.747992,0.014158806,1,8.56031128404669e-05,0.0211439688715953,0.736608018,"0.6-0.87","0.6-0.87",-9889.738875,-0.013191203,0.003987469,0.000939097,-0.343620444,0.127276818,0.006938364,1.287059678,0.438731238,0.003350613,0.155713638,0.114348325,0.173277331
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus","g__Anaerotruncus",3571,6678,18.63,"no.family.ID",0.164658801,NA,"0.05-0.3",-9290.96942,0.026016918,1,0.00408560311284047,0.870233463035019,0.050724919,NA,"0-0.11",-9289.550037,0.145754685,1,0.0239338521400778,1,0.008176472,NA,NA,-9288.549756,0.733894286,1,0.165980544747082,1,0.776439808,NA,"0.65-0.88",-9288.491973,-0.00825486,0.003356517,0.013918782,-0.573356777,0.108378056,1.22e-07,1.445044067,0.370906061,9.78e-05,0.022467166,0.096628534,0.816141397
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria","c__Gammaproteobacteria",3571,1394,83.01,"no.family.ID",0.158173434,NA,"0.03-0.31",-10132.67288,0.026172109,1,0.00521011673151751,1,0.025442894,NA,"0-0.08",-10130.59281,0.375778607,1,0.122326848249027,1,9.62e-10,NA,NA,-10130.20058,1,1,0.336447470817121,1,0.816383671,NA,"0.67-0.94",-10130.20058,0.011862867,0.004213933,0.004875394,0.302457831,0.138334589,0.028784723,0.639080455,0.469204513,0.173181805,0.052158619,0.122210184,0.669529106
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella","g__Sutterella",3571,2293,72.06,"full.model",0.161376178,"0.02-0.29","0.02-0.29",-11393.38732,0.026847381,1,0.00473540856031128,0.999171206225681,0.239049955,"0.17-0.3","0.17-0.3",-11414.86432,4.59e-12,1.08324e-09,0,0,0.007483495,"0-0.06","0-0.06",-11390.97732,0.776479556,1,0.175408560311284,1,0.592090372,"0.54-0.72","0.54-0.72",-11390.93702,-0.046105702,0.006284617,2.2e-13,0.857060499,0.185101679,3.65e-06,0.722516427,0.664889653,0.277182153,0.581251923,0.173726241,0.000820478
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA","s__Lachnospiraceae_bacterium_8_1_57FAA",3571,6187,24.61,"no.cohousing",0.175140801,NA,"0-0.32",-9923.801414,0.031744646,1,0.00291439688715953,0.655739299610895,1.53e-08,NA,NA,-9921.495297,0.999666147,1,0.383490272373541,1,0.030599936,NA,"0-0.08",-9922.181426,0.241424171,1,0.0160933852140078,1,0.794259247,NA,"0.67-0.94",-9921.495297,0.003827672,0.00397666,0.335781245,-0.250298135,0.13035973,0.054850677,0.607584745,0.442622448,0.1698478,0.076346431,0.115304602,0.50788905
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania","g__Holdemania",3571,4437,45.94,"full.model",0.16450384,"0.01-0.32","0.01-0.32",-9966.746211,0.038753011,1,0.00411284046692607,0.871922178988327,0.01525183,"0-0.09","0-0.09",-9964.699151,0.673494037,1,0.204509727626459,1,0.037310308,"0-0.09","0-0.09",-9965.752518,0.130691133,1,0.00632295719844358,1,0.782934021,"0.64-0.92","0.64-0.92",-9964.61038,-0.004692875,0.004043343,0.245787451,-0.578906586,0.131225144,1.03e-05,1.998721443,0.448139758,8.19e-06,0.085290452,0.116756407,0.465085152
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Mitsuokella","g__Mitsuokella",3571,7227,11.94,"no.family.ID",0.139728208,NA,"0-0.27",-9516.471997,0.039498087,1,0.01,1,0.329242433,NA,"0.28-0.38",-9563.374746,4.09e-23,1.05113e-20,0,0,0,NA,NA,-9514.352339,1,1,1,1,0.531029359,NA,"0.4-0.67",-9514.35234,0.020155874,0.003767204,8.78e-08,0.711831345,0.10642582,2.25e-11,-0.010820006,0.390363371,0.977887242,-0.059495519,0.102215228,0.560525452
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_unclassified","s__Paraprevotella_unclassified",3571,4025,50.96,"full.model",0.147400375,"0-0.29","0-0.29",-11413.36315,0.046744321,1,0.00752140077821012,1,0.292613078,"0.23-0.35","0.23-0.35",-11447.63494,1.67e-17,4.175e-15,0,0,0.022629316,"0-0.08","0-0.08",-11411.77506,0.377634736,1,0.0418482490272374,1,0.537357231,"0.41-0.67","0.41-0.67",-11411.38587,0.009700847,0.006388585,0.128897041,1.254622161,0.181989904,5.43e-12,-0.394056104,0.665019785,0.553483728,-0.072905145,0.174089996,0.67537803
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella","g__Eggerthella",3571,6059,26.17,"full.model",0.153847332,"0-0.3","0-0.3",-9758.203325,0.047975576,1,0.00591050583657588,1,0.121295156,"0.05-0.19","0.05-0.19",-9762.13871,0.000598187,0.102289977,8.56031128404669e-05,0.0148949416342412,0.014105738,"0-0.07","0-0.07",-9756.425141,0.551592577,1,0.100167315175097,1,0.710751774,"0.58-0.85","0.58-0.85",-9756.247905,-0.021976112,0.003890586,1.62e-08,-1.088084369,0.121065478,2.53e-19,0.582780374,0.422684432,0.167968773,0.036810012,0.110203976,0.738366661
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_senegalensis","s__Alistipes_senegalensis",3571,1436,82.5,"full.model",0.152961967,"0-0.3","0-0.3",-10145.52547,0.048905134,1,0.00612062256809338,1,0.103526409,"0.03-0.18","0.03-0.18",-10147.37024,0.005940851,0.849541693,0.000350194552529183,0.0526381322957198,0.051918819,"0-0.11","0-0.11",-10145.20573,0.071899076,1,0.000723735408560311,0.167906614785992,0.691592805,"0.56-0.82","0.56-0.82",-10143.58617,0.012141756,0.004345416,0.005203591,0.566150649,0.134234703,2.47e-05,1.084499126,0.470812096,0.021252701,-0.474155691,0.122801683,0.000112855
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella","g__Paraprevotella",3571,4025,50.96,"full.model",0.144754723,"0-0.28","0-0.28",-11491.90738,0.050043108,1,0.00831517509727626,1,0.293194169,"0.23-0.35","0.23-0.35",-11526.38431,1.44e-17,3.6144e-15,0,0,0.022993831,"0-0.08","0-0.08",-11490.39122,0.368807132,1,0.0402568093385214,1,0.539057277,"0.41-0.67","0.41-0.67",-11489.98738,0.009625515,0.006531959,0.140588496,1.282423137,0.185985507,5.38e-12,-0.404774989,0.679779961,0.551542701,-0.075479969,0.177955335,0.671455545
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus.s__Haemophilus_parainfluenzae","s__Haemophilus_parainfluenzae",3571,5604,31.72,"full.model",0.126579944,"0-0.24","0-0.24",-10337.49392,0.062054038,1,0.0159105058365759,1,0.06532462,"0-0.12","0-0.12",-10337.905,0.038027674,1,0.007715953307393,0.817891050583658,0,"0-0.05","0-0.05",-10335.75311,0.99993869,1,1,1,0.808095437,"0.7-0.91","0.7-0.91",-10335.75311,-0.015533649,0.00450151,0.000559001,0.204344909,0.145065184,0.158941057,0.287523098,0.497270691,0.56312749,0.629761083,0.129535977,1.16e-06
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae","f__Coriobacteriaceae",3571,57,99.31,"full.model",0.123061269,"0-0.25","0-0.25",-6253.730412,0.067265796,1,0.0180894941634241,1,0.155221358,"0.09-0.22","0.09-0.22",-6262.075753,7.59e-06,0.00154077,1.16731517509728e-05,0.00240466926070039,0.010320311,"0-0.06","0-0.06",-6252.154182,0.657926866,1,0.139178988326848,1,0.711397063,"0.59-0.83","0.59-0.83",-6252.056156,-0.00236428,0.001466777,0.106986258,0.010345889,0.044999861,0.818162204,0.189470697,0.158326631,0.231420509,-0.106469591,0.041290986,0.009922486
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales","o__Coriobacteriales",3571,57,99.31,"full.model",0.123061272,"0-0.25","0-0.25",-6253.730418,0.067265797,1,0.0180894941634241,1,0.155221356,"0.09-0.22","0.09-0.22",-6262.075759,7.59e-06,0.00154077,1.16731517509728e-05,0.00240466926070039,0.010320312,"0-0.06","0-0.06",-6252.154188,0.657926805,1,0.139178988326848,1,0.71139706,"0.59-0.83","0.59-0.83",-6252.056162,-0.002364281,0.001466777,0.106986225,0.010345888,0.044999861,0.818162231,0.189470699,0.158326631,0.231420505,-0.106469591,0.041290986,0.009922485
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Dialister","g__Dialister",3571,4649,43.35,"full.model",0.134491719,"0-0.27","0-0.27",-11320.16396,0.071825867,1,0.0118715953307393,1,0.15671509,"0.08-0.22","0.08-0.22",-11327.81303,1.66e-05,0.0032536,1.16731517509728e-05,0.00240466926070039,0.003878013,"0-0.06","0-0.06",-11318.55298,0.890839857,1,0.231229571984436,1,0.704915178,"0.58-0.83","0.58-0.83",-11318.54356,-0.073925328,0.006057631,2.97e-34,-0.309528432,0.186175229,0.096399529,0.58333793,0.65426661,0.372612434,-0.126129597,0.170621778,0.459764286
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales","o__Pasteurellales",3571,5554,32.33,"no.family.ID",0.12240679,NA,"0-0.23",-10358.78913,0.07508253,1,0.0184824902723735,1,0.066626194,NA,"0-0.11",-10359.36533,0.037652313,1,0.00710894941634241,0.767766536964981,3.63e-10,NA,NA,-10357.205,1,1,0.353556420233463,1,0.810967015,NA,"0.72-0.94",-10357.205,-0.015797409,0.00452921,0.000486839,0.180951489,0.145891013,0.21485719,0.293529735,0.500265371,0.557372926,0.597822338,0.130315432,4.49e-06
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae","f__Pasteurellaceae",3571,5554,32.33,"no.family.ID",0.122406792,NA,"0-0.23",-10358.78913,0.07508253,1,0.0184824902723735,1,0.066626194,NA,"0-0.11",-10359.36533,0.037652315,1,0.00710894941634241,0.767766536964981,3.63e-10,NA,NA,-10357.205,1,1,0.353556420233463,1,0.810967014,NA,"0.72-0.94",-10357.205,-0.015797409,0.00452921,0.000486839,0.18095149,0.145891013,0.214857189,0.293529739,0.500265371,0.557372921,0.597822336,0.130315432,4.49e-06
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae","f__Sutterellaceae",3571,251,96.94,"full.model",0.148687877,"0-0.31","0-0.31",-9008.739282,0.07755883,1,0.0071556420233463,1,0.038409477,"0-0.11","0-0.11",-9007.678089,0.319024262,1,0.056715953307393,1,0.052161703,"0-0.11","0-0.11",-9008.644646,0.087160142,1,0.000696498054474708,0.162284046692607,0.760740944,"0.6-0.91","0.6-0.91",-9007.181617,-0.022957019,0.003115689,1.73e-13,0.485185195,0.099397007,1.05e-06,-0.16909195,0.34277852,0.621802059,0.269190439,0.089333569,0.002584081
"k__Bacteria.p__Firmicutes.c__Negativicutes","c__Negativicutes",3571,1319,83.93,"full.model",0.146587271,"0-0.31","0-0.31",-10430.63255,0.085425749,1,0.00772373540856031,1,0.125775712,"0.05-0.2","0.05-0.2",-10434.44791,0.001137478,0.189958826,7.39299610894942e-05,0.01315953307393,0.033234372,"0-0.1","0-0.1",-10429.72178,0.286291543,1,0.0111673151750973,1,0.694402645,"0.54-0.85","0.54-0.85",-10429.15329,-0.003747328,0.004715471,0.426794941,0.842181428,0.145244266,6.7e-09,0.317066465,0.510055587,0.534184403,-0.128213676,0.133035408,0.335168257
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales","o__Selenomonadales",3571,1319,83.93,"full.model",0.146593727,"0-0.31","0-0.31",-10430.63255,0.085425751,1,0.00772373540856031,1,0.125770866,"0.05-0.2","0.05-0.2",-10434.44791,0.001137478,0.189958826,7.39299610894942e-05,0.01315953307393,0.033236155,"0-0.1","0-0.1",-10429.72178,0.286291549,1,0.01115953307393,1,0.694399252,"0.54-0.85","0.54-0.85",-10429.15329,-0.003747313,0.004715468,0.426796543,0.842181357,0.145244389,6.7e-09,0.317065569,0.510055611,0.534185577,-0.128214121,0.133035412,0.335166595
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname.s__Peptostreptococcaceae_noname_unclassified","s__Peptostreptococcaceae_noname_unclassified",3571,7528,8.27,"no.cohousing",0.120061156,NA,"0-0.24",-8426.030561,0.087232653,1,0.0199961089494163,1,0,NA,NA,-8424.568204,1,1,1,1,0,NA,"0-0.04",-8424.568204,1,1,1,1,0.879938844,NA,"0.78-0.99",-8424.568204,0.006455067,0.002590481,0.012708297,0.332719125,0.086337488,0.000116344,-0.876883439,0.290747864,0.002561685,-0.003667784,0.075721085,0.961367113
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium","g__Catenibacterium",3571,7434,9.42,"no.family.ID",0.1171775,NA,"0-0.25",-8335.647141,0.087801733,1,0.0217509727626459,1,0.108477878,NA,"0.05-0.17",-8340.639177,0.000328882,0.057883232,0.000217898832684825,0.0344280155642023,1.08e-10,NA,NA,-8334.19003,1,1,0.381856031128405,1,0.774344622,NA,"0.63-0.91",-8334.19003,0.017340355,0.002595503,2.37e-11,0.234166435,0.081889093,0.004242347,0.27922446,0.283911023,0.325364933,-0.075661065,0.073981249,0.30644689
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","s__Faecalibacterium_prausnitzii",3571,11,99.87,"no.family.ID",0.132219504,NA,"0-0.25",-5526.046571,0.088628965,1,0.0130739299610895,1,0.083429796,NA,"0.01-0.13",-5527.88706,0.010312629,1,0.00161089494163424,0.199750972762646,0,NA,NA,-5524.59702,0.99998682,1,1,1,0.7843507,NA,"0.67-0.97",-5524.59702,0.001788174,0.001175549,0.128225017,-0.020036742,0.037531877,0.593438873,-0.002413537,0.12927855,0.985104936,-0.152382776,0.033681445,6.06e-06
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__Catenibacterium_mitsuokai","s__Catenibacterium_mitsuokai",3571,7434,9.42,"full.model",0.116615393,"0-0.25","0-0.25",-8340.263688,0.088933618,1,0.0221945525291829,1,0.108416509,"0.05-0.17","0.05-0.17",-8345.276906,0.000325089,0.057540753,0.000217898832684825,0.0344280155642023,0,"0-0.02","0-0.02",-8338.816903,1,1,1,1,0.774968098,"0.67-0.93","0.67-0.93",-8338.816903,0.017349565,0.002598776,2.45e-11,0.234566206,0.081996719,0.004227362,0.279483814,0.284278924,0.325542292,-0.075323373,0.074076887,0.309235772
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia_coli","s__Escherichia_coli",3571,3932,52.09,"full.model",0.11594918,"0-0.25","0-0.25",-10949.48653,0.089569129,1,0.0226303501945525,1,0.020363652,"0-0.08","0-0.08",-10948.2803,0.493148366,1,0.159525291828794,1,0,"0-0.03","0-0.03",-10948.04548,1,1,1,1,0.863687168,"0.74-0.99","0.74-0.99",-10948.04548,0.009190705,0.005279321,0.081703251,0.310061159,0.174155616,0.075015687,0.528686293,0.589763456,0.370018952,-0.216436377,0.153596915,0.158799895
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium","g__Faecalibacterium",3571,11,99.87,"no.family.ID",0.131472941,NA,"0-0.25",-5522.188306,0.091386323,1,0.0134046692607004,1,0.084148225,NA,"0.01-0.13",-5524.078621,0.010025217,1,0.00149416342412451,0.188264591439689,0,NA,NA,-5520.763415,1,1,1,1,0.784378834,NA,"0.68-0.97",-5520.763415,0.001787834,0.001174452,0.12794133,-0.020977969,0.037484608,0.575723497,-0.001903376,0.129139809,0.988240504,-0.156152385,0.033645409,3.47e-06
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae","s__Klebsiella_pneumoniae",3571,7762,5.42,"full.model",0.128695396,"0-0.28","0-0.28",-8255.062491,0.093141075,1,0.014704280155642,1,0.133620788,"0.08-0.19","0.08-0.19",-8262.18696,3.61e-05,0.0068951,3.11284046692607e-05,0.00578988326848249,0,"0-0.03","0-0.03",-8253.652876,0.999986733,1,1,1,0.737683817,"0.58-0.89","0.58-0.89",-8253.652876,0.016507402,0.002552993,1.01e-10,0.069008854,0.079514214,0.385459626,-0.416185118,0.277499516,0.1336743,0.039849542,0.072335594,0.581703524
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_xylaniphila","s__Paraprevotella_xylaniphila",3571,5494,33.06,"no.family.ID",0.117837954,NA,"0-0.24",-10029.97059,0.093590546,1,0.0213307392996109,1,0.305435568,NA,"0.25-0.36",-10067.09697,1.65e-18,4.158e-16,0,0,0,NA,NA,-10028.56484,0.999569574,1,1,1,0.576726478,NA,"0.46-0.69",-10028.56484,0.00597211,0.004336162,0.168425718,0.567791241,0.123981925,4.66e-06,0.065987046,0.452020791,0.883935342,0.191384259,0.118246217,0.105549866
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_parasanguinis","s__Streptococcus_parasanguinis",3571,6526,20.48,"no.family.ID",0.123951055,NA,"0-0.26",-9333.2941,0.094757914,1,0.0174941634241245,1,0.120962843,NA,"0.06-0.18",-9338.188678,0.000389733,0.067813542,8.56031128404669e-05,0.0148949416342412,1.9e-10,NA,NA,-9331.898286,1,1,0.36784046692607,1,0.755086102,NA,"0.61-0.89",-9331.898286,0.023409079,0.003442692,1.05e-11,-0.185547329,0.10791745,0.085551568,-0.057330716,0.375382613,0.878614292,0.133376841,0.097833235,0.172785433
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella.s__Eggerthella_unclassified","s__Eggerthella_unclassified",3571,6201,24.44,"full.model",0.128506118,"0-0.28","0-0.28",-9698.620739,0.095062535,1,0.0148015564202335,1,0.13690147,"0.07-1.00","0.07-1.00",-9704.631162,0.000119072,0.021790176,3.11284046692607e-05,0.00578988326848249,0.018226751,"0-0.07","0-0.07",-9697.509852,0.452368255,1,0.0671439688715953,1,0.716365661,"0.59-0.85","0.59-0.85",-9697.227496,-0.020927185,0.003839858,5.04e-08,-1.05190799,0.118448498,6.64e-19,0.595024516,0.415605752,0.152228483,0.053568939,0.108378337,0.621110438
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae","s__Bacteroides_caccae",3571,2191,73.3,"full.model",0.126138522,"0-0.26","0-0.26",-10764.87518,0.096421169,1,0.01615953307393,1,0.2559411,"0.18-0.31","0.18-0.31",-10786.50651,1.17e-11,2.7261e-09,0,0,0.008756272,"0-0.07","0-0.07",-10763.54349,0.751378102,1,0.158093385214008,1,0.609164105,"0.48-0.74","0.48-0.74",-10763.4933,-0.029146231,0.005288753,3.57e-08,0.337995076,0.154425541,0.028616818,0.585161672,0.557211651,0.293644322,-0.240583651,0.145619164,0.098505447
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae.g__Mitsuokella.s__Mitsuokella_unclassified","s__Mitsuokella_unclassified",3571,7337,10.6,"full.model",0.107655613,"0-1.00","0-0.23",-9232.842297,0.10043173,1,0.0297665369649805,1,0.298836011,"0.25-0.35","0.25-0.35",-9272.769126,1.03e-19,2.6162e-17,0,0,0,"0-0.03","0-0.03",-9231.49296,0.999970295,1,1,1,0.593508376,"0.47-0.72","0.47-0.72",-9231.49296,0.016665147,0.003465226,1.51e-06,0.64685724,0.099415417,7.69e-11,-0.100499712,0.361844818,0.781209976,-0.055307854,0.094629283,0.558905015
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_21_3","s__Erysipelotrichaceae_bacterium_21_3",3571,7519,8.38,"no.family.ID",0.124670398,NA,"0.04-0.26",-7393.895014,0.101540783,1,0.0170389105058366,1,2.98e-10,NA,"0-0.05",-7392.554427,1,1,0.437221789883268,1,0.010183757,NA,NA,-7392.649388,0.662981067,1,0.140739299610895,1,0.865145845,NA,"0.75-0.95",-7392.554427,-0.000226783,0.001945478,0.907201308,-0.230939534,0.064520427,0.000344484,0.440064127,0.217873935,0.043403016,-0.114408433,0.056745258,0.043781565
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus","g__Haemophilus",3571,5574,32.08,"no.family.ID",0.113802941,NA,"0-0.22",-10351.31051,0.107663962,1,0.0243657587548638,1,0.068216235,NA,"0-0.11",-10352.16468,0.038190396,1,0.0061284046692607,0.667996108949416,3.76e-09,NA,NA,-10350.01642,1,1,0.319214007782101,1,0.81798082,NA,"0.73-0.94",-10350.01642,-0.015454692,0.004520056,0.000628199,0.1791666,0.14553897,0.218301975,0.21176048,0.499249545,0.671450892,0.601948585,0.130048483,3.68e-06
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus","g__Ruminococcus",3571,1064,87.04,"no.family.ID",0.119417542,NA,"0.02-0.27",-9964.478052,0.114254471,1,0.0203735408560311,1,0.046551566,NA,"0-0.12",-9963.942965,0.232714828,1,0.0321439688715953,1,0.014060495,NA,NA,-9963.345734,0.631725019,1,0.100501945525292,1,0.819970397,NA,"0.69-0.91",-9963.23087,0.006082256,0.004047261,0.132888571,-0.140002878,0.130885666,0.284773354,1.34781608,0.448028578,0.002626911,-0.657447167,0.116710765,1.77e-08
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales","o__Burkholderiales",3571,160,98.05,"full.model",0.128719176,"0-0.29","0-0.29",-8418.39414,0.117337311,1,0.0146964980544747,1,0.044050079,"0-0.12","0-0.12",-8417.813756,0.255727857,1,0.0384552529182879,1,0.055315603,"0-0.11","0-0.11",-8418.862807,0.065599282,1,0.000431906614785992,0.101929961089494,0.771915142,"0.61-0.91","0.61-0.91",-8417.167887,-0.019778747,0.002644351,7.45e-14,0.440977888,0.084073372,1.56e-07,-0.274361429,0.290574284,0.345065362,0.201203918,0.075731733,0.007888669
