Bacterial pathway	full_name	cate_name	class_name
PWY-7318	"dTDP-3-acetamido-3,6-dideoxy-alpha;-D-glucose biosynthesis"	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7312	dTDP-D-beta;-fucofuranose biosynthesis	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7090	"UDP-2,3-diacetamido-2,3-dideoxy-alpha;-D-mannuronate biosynthesis"	UDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	dTDP-L-Rhamnose-Biosynthesis;dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	CMP-KDO-Biosynthesis;Polysaccharides-Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY0-1241	ADP-L-glycero-beta;-D-manno-heptose biosynthesis	ADP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6145	superpathway of CMP-sialic acids biosynthesis	CMP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	CMP-N-Acetylneuraminate-Biosynthesis;CMP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	Sucrose-Biosynthesis;CARBO-BIOSYNTHESIS;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7347	sucrose biosynthesis III	Sucrose-Biosynthesis;CARBO-BIOSYNTHESIS;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7238	sucrose biosynthesis II	Sucrose-Biosynthesis;CARBO-BIOSYNTHESIS;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6981	chitin biosynthesis	Polysaccharides-Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
GLUCONEO-PWY	gluconeogenesis I	Gluconeogenesis;CARBO-BIOSYNTHESIS;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	GDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-5659	GDP-mannose biosynthesis	GDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
CALVIN-PWY	Calvin-Benson-Bassham cycle	CARBO-BIOSYNTHESIS;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6749	CMP-legionaminate biosynthesis I	CMP-Legionaminate-Biosynthesis;CMP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7413	dTDP-6-deoxy-alpha;-D-allose biosynthesis	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6143	CMP-pseudaminate biosynthesis	CMP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6524	lychnose and isolychnose biosynthesis	Oligosaccharides-Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-622	starch biosynthesis	GLYCOGEN-BIOSYN;Polysaccharides-Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6478	GDP-D-glycero-alpha;-D-manno-heptose biosynthesis	GDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	UDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-6953	dTDP-3-acetamido-alpha;-D-fucos biosynthesis	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY66-399	gluconeogenesis III	Gluconeogenesis;CARBO-BIOSYNTHESIS;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7316	dTDP-N-acetylviosamine biosynthesis	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7315	dTDP-N-acetylthomosamine biosynthesis	dTDP-Sugar-Biosynthesis;Sugar Nucleotides Biosynthesis;Sugars Biosynthesis;Carbohydrates Biosynthesis;Biosynthesis	carbohydrates biosynthesis
PWY-7031	protein N-glycosylation (bacterial)	Oligosaccharides-Biosynthesis;	carbohydrates biosynthesis
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	glycogen biosynthesis II (from UDP-D-Glucose)	carbohydrates biosynthesis
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	"Entner-Duodoroff-Pathways;Sugars-And-Polysaccharides-Degradation,Energy-Metabolism;Carbohydrates Degradation,pathways;Degradation/Utilization/Assimilation"	carbohydrates degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation	carbohydrates degradation
PWY-6901	superpathway of glucose and xylose degradation	Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation	carbohydrates degradation
FUCCAT-PWY	fucose degradation	Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation	carbohydrates degradation
PWY-7345	superpathway of anaerobic sucrose degradation	SUCROSE-DEG;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
PWY-3801	sucrose degradation II (sucrose synthase)	SUCROSE-DEG;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
P124-PWY	Bifidobacterium shunt	Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation	carbohydrates degradation
PWY66-373	sucrose degradation V (sucrose alpha;-glucosidase)	SUCROSE-DEG;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
PWY66-422	D-galactose degradation V (Leloir pathway)	GALACTOSE-DEGRADATION;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
PWY-6527	stachyose degradation	Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation	carbohydrates degradation
PWY-6317	D-galactose degradation I (Leloir pathway)	GALACTOSE-DEGRADATION;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
PWY-2723	trehalose degradation V	Trehalose-Degradation;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
PWY-6760	xylose degradation III	Xylose-Degradation;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
LACTOSECAT-PWY	lactose and galactose degradation I	GALACTOSE-DEGRADATION;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation	carbohydrates degradation
RHAMCAT-PWY	L-rhamnose degradation I	L-rhamnose-Degradation;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	"Entner-Duodoroff-Pathways;Sugars-And-Polysaccharides-Degradation,Energy-Metabolism;Carbohydrates Degradation,pathways;Degradation/Utilization/Assimilation"	carbohydrates degradation
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	SUCROSE-DEG;Sugars-And-Polysaccharides-Degradation;Carbohydrates Degradation;Degradation/Utilization/Assimilation	carbohydrates degradation
PWY-6060	malonate degradation II (biotin-dependent)	Malonate-Degradation;Carboxylates Degradation;Degradation	carboxylates degradation
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	Carboxylates Degradation;Degradation;Pathways	carboxylates degradation
PWY-5177	glutaryl-CoA degradation	Carboxylates Degradation;Degradation;Pathways	carboxylates degradation
P441-PWY	superpathway of N-acetylneuraminate degradation	Carboxylates Degradation;Degradation;Pathways	carboxylates degradation
PWY-5747	2-methylcitrate cycle II	Methyl-Citrate-Cycle;Propionate-Degradation;Carboxylates Degradation;Degradation/Utilization/Assimilation	carboxylates degradation
PWY0-42	2-methylcitrate cycle I	Methyl-Citrate-Cycle;Propionate-Degradation;Carboxylates Degradation;Degradation/Utilization/Assimilation	carboxylates degradation
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	Kdo Transfer to Lipid IVA	cell structures biosynthesis
PWY-7290	Escherichia coli serotype O86 O-antigen biosynthesis	O-Antigen Biosynthesis	cell structures biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis	Cell Structures Biosynthesis;Biosynthesis;Pathways	cell structures biosynthesis
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	O-Antigen-Biosynthesis;Lipopolysaccharide-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	O-Antigen-Biosynthesis;Lipopolysaccharide-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-6470	peptidoglycan biosynthesis V (beta;-lactam resistance)	Peptidoglycan-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II	Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	Peptidoglycan-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	Peptidoglycan-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	Peptidoglycan-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	Acetylmuramoyl-Pentapeptide-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
NAGLIPASYN-PWY	superpathway of (Kdo)-2-lipid A biosynthesis	Lipopolysaccharide-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	Peptidoglycan-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)-2-lipid A biosynthesis	Lipopolysaccharide-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	Acetylmuramoyl-Pentapeptide-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	Peptidoglycan-Biosynthesis;Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	Cell-Wall-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
LIPASYN-PWY	superpathway of (Kdo)-2-lipid A biosynthesis	Lipopolysaccharide-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY0-1338	polymyxin resistance	Lipopolysaccharide-Biosynthesis;Cell Structures Biosynthesis;Biosynthesis	cell structures biosynthesis
PWY-4221	pantothenate and coenzyme A biosynthesis II (plants)	CoA-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	CoA-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-6174	mevalonate pathway II (archaea)	Cofactor-Biosynthesis;Biosynthesis;Pathways	cofactor biosynthesis
PWY-5198	factor 420 biosynthesis	Cofactor-Biosynthesis;Biosynthesis;Pathways	cofactor biosynthesis
P261-PWY	coenzyme M biosynthesis I	Coenzyme-M-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-4242	pantothenate and coenzyme A biosynthesis III	CoA-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY1G-0	mycothiol biosynthesis	Reductants;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-7376	"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"	Cobyrinate-diamide-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
P241-PWY	coenzyme B biosynthesis	Cofactor-Biosynthesis;Biosynthesis;Pathways	cofactor biosynthesis
PWY-7377	"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)"	Cobyrinate-diamide-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
COA-PWY	coenzyme A biosynthesis I	CoA-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-4041	gamma;-glutamyl cycle	Reductants;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	Tetrapyrrole-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-6823	molybdenum cofactor biosynthesis	Molybdenum-Cofactor-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-6148	tetrahydromethanopterin biosynthesis	Cofactor-Biosynthesis;Biosynthesis;Pathways	cofactor biosynthesis
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	Tetrapyrrole-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	CoA-Biosynthesis;Cofactor-Biosynthesis;Biosynthesis	cofactor biosynthesis
PWY-6182	superpathway of salicylate degradation	Aromatic Compound Degradation	aromatic compounds degradation
PWY-4202	arsenate detoxification I (glutaredoxin)	Arsenate-Detoxification;Detoxification;Pathways	arsenate detoxification
PWY-6842	glutathione-mediated detoxification II	Detoxification;Pathways	arsenate detoxification
PWY-7664	oleate biosynthesis IV (anaerobic)	Oleate-Biosynthesis;Unsaturated-Fatty-Acids-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-6285	superpathway of fatty acids biosynthesis (E. coli)	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY0-862	(5Z)-dodec-5-enoate biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)	Unsaturated-Fatty-Acids-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-7039	"phosphatidate metabolism, as a signaling molecule"	Phospholipid-Biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol-Biosynthesis;Phospholipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	PhosphatidylglycerolBiosynthesis;Phospholipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	Phospholipid-Biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	PhosphatidylglycerolBiosynthesis;Phospholipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY0-1319	CDP-diacylglycerol biosynthesis II	CDP-diacylglycerol-Biosynthesis;Phospholipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-5989	stearate biosynthesis II (bacteria and plants)	Stearate-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-5973	cis-vaccenate biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	Palmitoleate-Biosynthesis;Unsaturated-Fatty-Acids-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY3O-355	stearate biosynthesis III (fungi)	Stearate-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-7388	"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-5994	palmitate biosynthesis I (animals and fungi)	Palmitate-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-5156	superpathway of fatty acid biosynthesis II (plant)	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-7409	"phospholipid remodeling (phosphatidylethanolamine, yeast)"	PhosphatidylethanolamineBiosynthesis;Phospholipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-7094	fatty acid salvage	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-6350	archaetidylinositol biosynthesis	Phospholipid-Biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-6349	CDP-archaeol biosynthesis	Phospholipid-Biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-6113	superpathway of mycolate biosynthesis	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-7663	gondoate biosynthesis (anaerobic)	Unsaturated-Fatty-Acids-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
FASYN-ELONG-PWY	fatty acid elongation -- saturated	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWYG-321	mycolate biosynthesis	Fatty-acid-biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-5971	palmitate biosynthesis II (bacteria and plants)	Palmitate-Biosynthesis;Fatty-acid-biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis;Pathways	fatty acid and lipid biosynthesis
PWY-6803	phosphatidylcholine acyl editing	Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis;Pathways	fatty acid and lipid biosynthesis
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	Phospholipid-Biosynthesis;Lipid-Biosynthesis;Fatty Acid and Lipid Biosynthesis;Biosynthesis	fatty acid and lipid biosynthesis
PWY-7411	superpathway of phosphatidate biosynthesis (yeast)	Super-Pathways;Pathways	fatty acid and lipid biosynthesis
PWY-5367	petroselinate biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	fatty acid and lipid biosynthesis
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I	superpathway of ergosterol biosynthesis I	fatty acid and lipid biosynthesis
PWY-5080	very long chain fatty acid biosynthesis I	very long chain fatty acid biosynthesis I	fatty acid and lipid biosynthesis
PWY-5129	sphingolipid biosynthesis (plants)	sphingolipid biosynthesis (plants)	fatty acid and lipid biosynthesis
PWY-6074	zymosterol biosynthesis	zymosterol biosynthesis	fatty acid and lipid biosynthesis
PWY-6075	ergosterol biosynthesis I	ergosterol biosynthesis I	fatty acid and lipid biosynthesis
PWY-6598	sciadonate biosynthesis	sciadonate biosynthesis	fatty acid and lipid biosynthesis
PWY-7420	monoacylglycerol metabolism (yeast)	monoacylglycerol metabolism (yeast)	fatty acid and lipid biosynthesis
PWY-7619	juniperonate biosynthesis	juniperonate biosynthesis	fatty acid and lipid biosynthesis
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)	sphingolipid biosynthesis (yeast)	fatty acid and lipid biosynthesis
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	diacylglycerol and triacylglycerol biosynthesis	fatty acid and lipid biosynthesis
PWY-5136	fatty acid beta;-oxidation II (peroxisome)	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
PWY66-391	fatty acid beta;-oxidation VI (peroxisome)	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
PWY-7288	"fatty acid beta;-oxidation (peroxisome, yeast)"	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
PWY-6837	"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
PWY-7338	"10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)"	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
PWY-7337	10-cis-heptadecenoyl-CoA degradation (yeast)	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
FAO-PWY	fatty acid beta;-oxidation I	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	Energy-Metabolism;Pathways	fatty acid and lipid degradation
PWY-5138	"unsaturated, even numbered fatty acid beta;-oxidation"	Fatty-Acid-Degradation;Fatty-Acid-and-Lipid-Degradation;Degradation	fatty acid and lipid degradation
PWY66-388	fatty acid ¦Á-oxidation III	fatty acid ¦Á-oxidation III	fatty acid and lipid degradation
PWY-5109	2-methylbutanoate biosynthesis	Fermentation;Energy-Metabolism;Pathways	fermentation
P125-PWY	"superpathway of (R,R)-butanediol biosynthesis"	Butanediol-Biosynthesis;Fermentation;Energy-Metabolism;Pathways	fermentation
P122-PWY	heterolactic fermentation	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
CENTFERM-PWY	pyruvate fermentation to butanoate	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
P108-PWY	pyruvate fermentation to propanoate I	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
ANAEROFRUCAT-PWY	homolactic fermentation	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-6588	pyruvate fermentation to acetone	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-6396	"superpathway of 2,3-butanediol biosynthesis"	Butanediol-Biosynthesis;Fermentation;Energy-Metabolism;Pathways	fermentation
FERMENTATION-PWY	mixed acid fermentation	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-7384	"anaerobic energy metabolism (invertebrates, mitochondrial)"	Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-5676	acetyl-CoA fermentation to butanoate II	Acetyl-CoA-Butyrate;Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-5100	pyruvate fermentation to acetate and lactate II	Pyruvate-Degradation;Fermentation;Energy-Metabolism;Pathways	fermentation
PWY-5677	succinate fermentation to butanoate	Fermentation;Energy-Metabolism;Pathways	fermentation
