"Taxon_Shortname","LBL","CI_ID_low","CI_ID_high","Var.Exp","Var.Exp.NR"
"s__Paraprevotella_unclassified","*",0,0.29,"Family",0.022629316
"s__Alistipes_senegalensis","*",0,0.3,"Family",0.051918819
"s__Holdemania_filiformis","*",0.02,0.29,"Family",0
"s__Oxalobacter_formigenes","*",0.04,0.29,"Family",0
"s__Sutterella_wadsworthensis","*",0.06,0.3,"Family",0.011230574
"s__Parabacteroides_merdae","*",0.04,0.3,"Family",1.68e-10
"s__Bacteroides_finegoldii","*",0.03,0.3,"Family",0.069517092
"s__Bacteroides_massiliensis","*",0.04,0.3,"Family",0.059868297
"s__Flavonifractor_plautii","*",0.02,0.32,"Family",0.065185225
"s__Lachnospiraceae_bacterium_8_1_57FAA","*",0,0.32,"Family",0.030599936
"s__Bacteroides_coprophilus","*",0.03,0.33,"Family",0.024848713
"s__Bacteroides_faecis","*",0.05,0.33,"Family",0.014800197
"s__Ruminococcus_bromii","*",0.08,0.33,"Family",1.11e-10
"s__Dialister_invisus","*",0.08,0.34,"Family",1.05e-10
"s__Bacteroides_eggerthii","*",0.08,0.34,"Family",0.050120653
"s__Mitsuokella_multacida","*",0.07,0.35,"Family",0
"s__Bacteroides_uniformis","*",0.08,0.36,"Family",0
"s__Clostridium_citroniae","*",0.09,0.35,"Family",2.98e-09
"s__Bacteroides_coprocola","**",0.1,0.34,"Family",0
"s__Phascolarctobacterium_succinatutens","**",0.1,0.38,"Family",0.031027675
"s__Bifidobacterium_longum","**",0.11,0.38,"Family",0
"s__Parabacteroides_goldsteinii","**",0.12,0.4,"Family",0
"s__Akkermansia_muciniphila","**",0.17,0.43,"Family",0
"s__Coprococcus_sp_ART55_1","",0,0.05,"Environment",0.903230699
"s__Dorea_unclassified","",0,0.1,"Environment",0.963656028
"s__Eubacterium_hallii","",0,0.08,"Environment",0.910019643
"s__Coprococcus_comes","",0,0.11,"Environment",0.935933736
"s__Lachnospiraceae_bacterium_5_1_63FAA","",0,0.14,"Environment",0.892441754
"s__Anaerostipes_hadrus","",0,0.09,"Environment",0.956173275
"s__Bifidobacterium_adolescentis","",0,0.11,"Environment",0.802039141
"s__Coprococcus_eutactus","",0,0.04,"Environment",0.808443588
"s__Lachnospiraceae_bacterium_3_1_46FAA","",0,0.11,"Environment",0.83975809
"s__Anaerotruncus_unclassified","",0,0.11,"Environment",0.995610119
"s__Subdoligranulum_unclassified","",0,0.13,"Environment",0.881749187
"s__Acidaminococcus_unclassified","",0,0.1,"Environment",0.685167849
"s__Eubacterium_rectale","",0,0.09,"Environment",0.91595842
"s__Ruminococcaceae_bacterium_D16","",0,0.15,"Environment",0.974536607
"s__Ruminococcus_obeum","",0,0.13,"Environment",0.936472521
"s__Bacteroides_nordii","",0,0.09,"Environment",0.832356399
"s__Roseburia_hominis","",0,0.2,"Environment",0.93927754
"s__Clostridium_hathewayi","",0,0.07,"Environment",0.931280381
"s__Bacteroidales_bacterium_ph8","",0,0.19,"Environment",0.84411065
"s__Dorea_formicigenerans","",0,0.21,"Environment",0.918105619
"s__Ruminococcus_torques","",0,0.15,"Environment",0.967293565
"s__Streptococcus_thermophilus","",0,0.16,"Environment",0.908815489
"s__Methanobrevibacter_unclassified","",0,0.11,"Environment",0.994203379
"s__Alistipes_shahii","",0,0.14,"Environment",0.874953044
"s__Ruminococcus_callidus","",0,0.13,"Environment",0.884533676
"s__Prevotella_stercorea","",0,0.14,"Environment",0.810939185
"s__Dorea_longicatena","",0,0.13,"Environment",0.925979623
"s__Bilophila_unclassified","",0,0.17,"Environment",0.87875169
"s__Bifidobacterium_catenulatum","",0,0.14,"Environment",0.750104909
"s__Klebsiella_unclassified","",0,0.16,"Environment",0.951802281
"s__Bacteroides_cellulosilyticus","",0,0.15,"Environment",0.657087744
"s__Coprococcus_catus","",0,0.14,"Environment",0.869791141
"s__Ruminococcus_gnavus","",0,0.16,"Environment",0.937285955
"s__Alistipes_unclassified","",0,0.16,"Environment",0.91351626
"s__Holdemania_unclassified","",0,0.17,"Environment",0.93256313
"s__Alistipes_indistinctus","",0,0.14,"Environment",0.807269274
"s__Odoribacter_splanchnicus","",0,0.14,"Environment",0.906636589
"s__Roseburia_unclassified","",0,0.17,"Environment",0.947410834
"s__Odoribacter_unclassified","",0,0.15,"Environment",0.968633614
"s__Ruminococcus_lactaris","",0,0.16,"Environment",0.869688051
"s__Alistipes_putredinis","",0,0.17,"Environment",0.835723692
"s__Bacteroides_clarus","",0,0.17,"Environment",0.722613457
"s__Adlercreutzia_equolifaciens","",0,0.18,"Environment",0.840357228
"s__Bifidobacterium_bifidum","",0,0.17,"Environment",0.81379974
"s__Coprobacter_fastidiosus","",0,0.17,"Environment",0.853433695
"s__Bacteroides_vulgatus","",0,0.19,"Environment",0.801016925
"s__Bacteroides_salyersiae","",0,0.17,"Environment",0.60249323
"s__Parabacteroides_unclassified","",0,0.19,"Environment",0.81573372
"s__Oscillibacter_unclassified","",0,0.21,"Environment",0.773924994
"s__Lachnospiraceae_bacterium_1_1_57FAA","",0,0.17,"Environment",0.900629362
"s__Gordonibacter_pamelaeae","",0,0.18,"Environment",0.86486834
"s__Anaerotruncus_colihominis","",0,0.2,"Environment",0.848533558
"s__Parabacteroides_distasonis","",0,0.2,"Environment",0.661749653
"s__Bifidobacterium_pseudocatenulatum","",0,0.19,"Environment",0.740273378
"s__Bilophila_wadsworthia","",0,0.2,"Environment",0.750507478
"s__Bifidobacterium_dentium","",0,0.18,"Environment",0.901557376
"s__Lachnospiraceae_bacterium_3_1_57FAA_CT1","",0,0.18,"Environment",0.911266156
"s__Clostridium_bartlettii","",0,0.17,"Environment",0.942831115
"s__Bacteroides_xylanisolvens","",0,0.19,"Environment",0.730423339
"s__Bacteroides_ovatus","",0,0.2,"Environment",0.806226033
"s__Rothia_mucilaginosa","",0,0.21,"Environment",0.83222709
"s__Alistipes_sp_AP11","",0,0.21,"Environment",0.829367862
"s__Bacteroides_stercoris","",0,0.2,"Environment",0.694987678
"s__Bacteroides_dorei","",0,0.19,"Environment",0.685277835
"s__Collinsella_aerofaciens","",0,0.22,"Environment",0.794907702
"s__Eubacterium_ramulus","",0,0.2,"Environment",0.883752609
"s__Veillonella_unclassified","",0,0.19,"Environment",0.827393729
"s__Veillonella_atypica","",0,0.2,"Environment",0.86992333
"s__Eubacterium_biforme","",0,0.2,"Environment",0.776629985
"s__Desulfovibrio_piger","",0,0.21,"Environment",0.617316731
"s__Bacteroides_fragilis","",0,0.22,"Environment",0.706075657
"s__Roseburia_inulinivorans","",0,0.19,"Environment",0.914289297
"s__Eubacterium_siraeum","",0,0.22,"Environment",0.837696066
"s__Bacteroides_thetaiotaomicron","",0,0.22,"Environment",0.767149489
"s__Veillonella_parvula","",0,0.21,"Environment",0.875339469
"s__Prevotella_copri","",0,0.22,"Environment",0.706272973
"s__Paraprevotella_clara","",0,0.22,"Environment",0.574222916
"s__Clostridium_asparagiforme","",0,0.23,"Environment",0.832588466
"s__Eubacterium_eligens","",0,0.22,"Environment",0.840132339
"s__Methanobrevibacter_smithii","",0,0.22,"Environment",0.879166865
"s__Clostridium_bolteae","",0,0.23,"Environment",0.815736438
"s__Barnesiella_intestinihominis","",0,0.23,"Environment",0.740788834
"s__Parasutterella_excrementihominis","",0,0.22,"Environment",0.734360503
"s__Butyrivibrio_crossotus","",0,0.25,"Environment",0.763719948
"s__Pseudoflavonifractor_capillosus","",0,0.23,"Environment",0.853837708
"s__Escherichia_unclassified","*",0,0.24,"Environment",0.862075447
"s__Bacteroides_plebeius","*",0,0.26,"Environment",0.667916808
"s__Burkholderiales_bacterium_1_1_47","*",0,0.24,"Environment",0.658482767
"s__Alistipes_onderdonkii","*",0,0.26,"Environment",0.802700088
"s__Eggerthella_lenta","*",0,0.25,"Environment",0.837374658
"s__Lactobacillus_delbrueckii","*",0,0.25,"Environment",0.665783913
"s__Desulfovibrio_desulfuricans","*",0,0.25,"Environment",0.811906993
"s__Alistipes_finegoldii","*",0,0.25,"Environment",0.67300395
"s__Roseburia_intestinalis","*",0,0.24,"Environment",0.872649379
"s__Eubacterium_ventriosum","*",0,0.24,"Environment",0.829945879
"s__Mitsuokella_unclassified","*",0,0.23,"Environment",0.593508376
"s__Parabacteroides_johnsonii","*",0,0.24,"Environment",0.548993581
"s__Megasphaera_unclassified","*",0,0.26,"Environment",0.748554427
"s__Bacteroides_intestinalis","*",0,0.26,"Environment",0.56192567
"s__Escherichia_coli","*",0,0.25,"Environment",0.863687168
"s__Catenibacterium_mitsuokai","*",0,0.25,"Environment",0.774968098
"s__Paraprevotella_xylaniphila","*",0,0.24,"Environment",0.576726478
"s__Lachnospiraceae_bacterium_7_1_58FAA","*",0,0.27,"Environment",0.82520047
"s__Clostridium_leptum","*",0,0.27,"Environment",0.798506879
"s__Peptostreptococcaceae_noname_unclassified","*",0,0.24,"Environment",0.879938844
"s__Streptococcus_salivarius","*",0,0.28,"Environment",0.792068685
"s__Streptococcus_parasanguinis","*",0,0.26,"Environment",0.755086102
"s__Erysipelotrichaceae_bacterium_21_3","*",0.04,0.26,"Environment",0.865145845
"s__Bacteroides_caccae","*",0,0.26,"Environment",0.609164105
"s__Haemophilus_parainfluenzae","*",0,0.24,"Environment",0.808095437
"s__Eggerthella_unclassified","*",0,0.28,"Environment",0.716365661
"s__Klebsiella_pneumoniae","*",0,0.28,"Environment",0.737683817
"s__Faecalibacterium_prausnitzii","*",0,0.25,"Environment",0.7843507
"s__Paraprevotella_unclassified","*",0,0.29,"Environment",0.537357231
"s__Alistipes_senegalensis","*",0,0.3,"Environment",0.691592805
"s__Holdemania_filiformis","*",0.02,0.29,"Environment",0.800468571
"s__Oxalobacter_formigenes","*",0.04,0.29,"Environment",0.730735339
"s__Sutterella_wadsworthensis","*",0.06,0.3,"Environment",0.580542296
"s__Parabacteroides_merdae","*",0.04,0.3,"Environment",0.623420579
"s__Bacteroides_finegoldii","*",0.03,0.3,"Environment",0.489932042
"s__Bacteroides_massiliensis","*",0.04,0.3,"Environment",0.504072381
"s__Flavonifractor_plautii","*",0.02,0.32,"Environment",0.736608018
"s__Lachnospiraceae_bacterium_8_1_57FAA","*",0,0.32,"Environment",0.794259247
"s__Bacteroides_coprophilus","*",0.03,0.33,"Environment",0.58990813
"s__Bacteroides_faecis","*",0.05,0.33,"Environment",0.53357436
"s__Ruminococcus_bromii","*",0.08,0.33,"Environment",0.777027035
"s__Dialister_invisus","*",0.08,0.34,"Environment",0.655447987
"s__Bacteroides_eggerthii","*",0.08,0.34,"Environment",0.481799041
"s__Mitsuokella_multacida","*",0.07,0.35,"Environment",0.469076979
"s__Bacteroides_uniformis","*",0.08,0.36,"Environment",0.726895258
"s__Clostridium_citroniae","*",0.09,0.35,"Environment",0.750518928
"s__Bacteroides_coprocola","**",0.1,0.34,"Environment",0.502267796
"s__Phascolarctobacterium_succinatutens","**",0.1,0.38,"Environment",0.480566697
"s__Bifidobacterium_longum","**",0.11,0.38,"Environment",0.681542825
"s__Parabacteroides_goldsteinii","**",0.12,0.4,"Environment",0.481652997
"s__Akkermansia_muciniphila","**",0.17,0.43,"Environment",0.673017682
